CPN,Part Name,Qty,Source,Mfg Part #,Price,Link
10-2001,Teensy 4.1 Development Board,1,AliExpress,TEENSY41,47.59,https://www.aliexpress.com/w/wholesale-Teensy-4.1-development-board.html
30-0001,TSP F35-p Rocket Engine (Pack of 2),2,SierraFox,F35-P,72.5,https://www.sierrafoxhobbies.com/en/2439-f35-p-single-use-tsp-29-mm-model-rocket-engine-2-pcs.html
20-0001,BMI088 Shuttle Board,1,Mouser,BMI088-SB,13.67,https://www.mouser.es/ProductDetail/Bosch-Sensortec/BMI088-Shuttle-Board-30
20-0002,MS5611 Barometric Pressure Sensor,1,ManoMano,MS5611-01BA03,7.87,https://www.manomano.es/componentes-electronicos-4189
20-0003,LoRa Module SX1278 (433MHz),1,AliExpress,SX1278,2.33,https://www.aliexpress.com/item/1005001593805902.html
30-0002,5V DC Motor (Hobby Type),1,AliExpress,Generic,0.99,https://www.aliexpress.com/w/wholesale-5v-dc-motor.html
30-0003,9g Micro Servo (SG90) (5pcs),1,AliExpress,SG90,9.49,https://www.aliexpress.com/item/32425569444.html
30-0004,5g Micro Servo (GH-S37D),1,AliExpress,GH-S37D,2.89,https://www.aliexpress.com/item/1005005335388228.html
10-2002,ESP32-WROOM-32 Dev Module,1,AliExpress,ESP32-WROOM,2.24,https://es.aliexpress.com/item/1005006096278268.html
20-0004,SX1278 LoRa Receiver (868MHz),1,AliExpress,SX1276,10.59,"https://www.amazon.es/cart/smart-wagon?newItems=9bc834af-a09a-47e9-a199-14235897edb9,1&ref_=sw_refresh"
20-0005,LoRa/RF Antenna (SMA 868MHz),1,AliExpress,Generic,1.82,https://www.aliexpress.com/item/1005002863723277.html
40-0001,Custom Carbon Fiber Tubes (Est.),1,Custom,Custom,70,N/A
